"station","lat","lon","num_years","num_years_last_40","watershed"
70,29.8722,-94.8893,5.67758814282502,5.67758814282502,"Q"
447,29.9142,-94.9908,71.5452054794521,39.9972602739726,"Q"
90,29.6945,-95.8264,6.35890410958905,6.35890410958905,"T"
213,29.8121,-95.8177,19.5397260273974,19.5397260273974,"T"
513,29.8024,-95.8196,65.7486263941912,39.9972602739726,"T"
167,29.7129,-95.6688,10.8904109589041,10.8904109589041,"D"
216,29.718,-95.4369,5.4672056291638,5.4672056291638,"D"
461,29.7067,-95.6878,68.8904109589041,33.8904109589041,"D"
497,29.66,-95.6275,69.5819597275245,39.9972602739726,"D"
168,30.0022,-95.196,10.2109589041097,10.2109589041097,"G"
181,30.0553,-95.1564,9.3305936073059,9.3305936073059,"G"
500,29.91667,-95.15,42.3322030092074,18.7459016393443,"G"
505,30,-95.25,30.9972602739726,7.41095890410952,"G"
527,30.1374,-95.1783,65.9260273972602,39.9260273972602,"G"
170,29.7276,-95.3846,16.191780821918,16.191780821918,"W"
176,29.8138,-95.5505,9.62840781495629,9.62840781495629,"W"
191,29.8133,-95.5389,8.17260273972602,8.17260273972602,"W"
502,29.80417,-95.49139,46.7506924170971,22.9972677595629,"W"
172,29.7845,-95.372,6.29635451755371,6.29635451755371,"E"
495,29.79139,-95.42611,63.7185792349726,34.1338797814208,"E"
496,29.86667,-95.41667,52.4931506849316,17.4931506849316,"E"
499,29.8732,-95.5274,70.331506849315,39.9972602739726,"E"
592,29.76667,-95.36667,69.66301369863,12.66301369863,"E"
185,30.0803,-95.7178,8.67671232876728,8.67671232876728,"M"
214,30.1135,-95.5748,5.4781271053223,5.4781271053223,"M"
569,30.1004,-95.6114,72.2410958904111,36.0904109589042,"M"
192,30.1512,-95.4667,5.30684931506858,5.30684931506858,"J"
291,30.1667,-95.5103,8.22465753424672,8.22465753424672,"J"
300,30.1985,-95.4959,5.54370836140424,5.54370836140424,"J"
302,30.1417,-95.4658,5.193981585448,5.193981585448,"J"
520,30.21667,-95.78333,32.0465753424658,8.46027397260264,"J"
198,29.9564,-95.6463,7.56986301369875,7.56986301369875,"K"
468,30.021,-95.7069,74.9972602739726,39.9972602739726,"K"
601,30.0675,-95.55611,19.7506849315068,19.7506849315068,"K"
228,29.9316,-95.5665,5.24207650273206,5.24207650273206,"P"
593,29.98,-95.36,48.5835616438358,39.9972602739726,"P"
491,29.8142,-95.7276,70.9123287671232,35.9123287671232,"U"
588,29.63806,-95.28194,87.4164383561645,39.9972602739726,"C"
